Original Term,URI,Ontology Label
nitrone,http://purl.obolibrary.org/obo/CHEBI_77477,nitrone
nitronium ion,http://purl.obolibrary.org/obo/CHEBI_24870,ion
nitrosamine,http://purl.obolibrary.org/obo/CHEBI_35803,nitrosamine
nitroso,http://purl.obolibrary.org/obo/CHEBI_35801,nitroso group
orthoester,http://purl.obolibrary.org/obo/CHEBI_71989,ortho ester
osazone,,
oxaziridine,,
oxime,http://purl.obolibrary.org/obo/CHEBI_25750,oxime
peroxide,http://purl.obolibrary.org/obo/CHEBI_44785,peroxide
peroxy acid,http://purl.obolibrary.org/obo/CHEBI_52094,peroxy acid
persistent carbene,http://purl.obolibrary.org/obo/CHEBI_51363,carbene
phenols,http://purl.obolibrary.org/obo/CHEBI_33853,phenols
phosphaalkene,,
phosphaalkyne,,
phosphate,http://purl.obolibrary.org/obo/CHEBI_26020,phosphate
phosphinate,http://purl.obolibrary.org/obo/CHEBI_29198,phosphinate
phosphine,http://purl.obolibrary.org/obo/CHEBI_35883,phosphine
phosphine oxide,http://purl.obolibrary.org/obo/CHEBI_59656,phosphine oxide
phosphinite,http://purl.obolibrary.org/obo/CHEBI_173227,2-({2-[Dimethyl(2-phosphanylethyl)ammonio]ethyl}dimethylammonio)ethyl phosphinite
phosphonate,http://purl.obolibrary.org/obo/CHEBI_26066,phosphonate
phosphonite,,
phosphonium,http://purl.obolibrary.org/obo/CHEBI_30282,phosphonium
phosphorane,http://purl.obolibrary.org/obo/CHEBI_30285,phosphorane
s-nitrosothiol,http://purl.obolibrary.org/obo/CHEBI_65308,thionitrous acid
Schiff base,http://purl.obolibrary.org/obo/CHEBI_50229,Schiff base
selenenic acid,http://purl.obolibrary.org/obo/CHEBI_37527,acid
selenol,http://purl.obolibrary.org/obo/CHEBI_29775,selenol group
selenonic acid,http://purl.obolibrary.org/obo/CHEBI_29217,selenonic acid
selone,http://purl.obolibrary.org/obo/CHEBI_47684,"9-beta-D-ribofuranosyl-1,9-dihydro-6H-purine-6-selone"
semicarbazide,http://purl.obolibrary.org/obo/CHEBI_28306,semicarbazide
semicarbazone,http://purl.obolibrary.org/obo/CHEBI_87210,semicarbazone
silanylidene group,http://purl.obolibrary.org/obo/CHEBI_24433,group
silyl enol ether,http://purl.obolibrary.org/obo/CHEBI_47986,silyl enol ether
silyl ether,http://purl.obolibrary.org/obo/CHEBI_47988,silyl ether
sulfenamide,,
sulfenic acid,http://purl.obolibrary.org/obo/CHEBI_37858,sulfenic acid
sulfenyl chloride,http://purl.obolibrary.org/obo/CHEBI_17996,chloride
sulfide,http://purl.obolibrary.org/obo/CHEBI_26822,sulfide
sulfilimine,http://purl.obolibrary.org/obo/CHEBI_166867,S-(L-lysyl)-L-methionine sulfilimine residue
sulfinamide,http://purl.obolibrary.org/obo/CHEBI_59638,mycothiol sulfinamide
sulfinic acid,http://purl.obolibrary.org/obo/CHEBI_29213,sulfinic acid
sulfite ester,http://purl.obolibrary.org/obo/CHEBI_39088,sulfite ester
sulfonamide (chemistry),http://purl.obolibrary.org/obo/CHEBI_35358,sulfonamide
N-phenylsulfonamide,http://purl.obolibrary.org/obo/CHEBI_143142,"N,N',N'',N'''-tetraacetylchitotetraose"
sulfonate,http://purl.obolibrary.org/obo/CHEBI_33543,sulfonate
sulfonyl,http://purl.obolibrary.org/obo/CHEBI_29825,sulfonyl group
sulfonyl halide,http://purl.obolibrary.org/obo/CHEBI_39443,sulfuryl halide
sulfoxide,http://purl.obolibrary.org/obo/CHEBI_22063,sulfoxide
sulfuryl,http://purl.obolibrary.org/obo/CHEBI_29291,sulfuryl dichloride
sultone,http://purl.obolibrary.org/obo/CHEBI_38088,sultone
tellurol,,
thial,http://purl.obolibrary.org/obo/CHEBI_59786,thioaldehyde
thioacetal,http://purl.obolibrary.org/obo/CHEBI_59792,thioacetal
thioamide,http://purl.obolibrary.org/obo/CHEBI_47956,thiocarboxamide
thiocarbamate,http://purl.obolibrary.org/obo/CHEBI_38127,thiocarbamic ester
thiocarboxyl,,
thiocyanate,http://purl.obolibrary.org/obo/CHEBI_18022,thiocyanate
thioester,http://purl.obolibrary.org/obo/CHEBI_51277,thioester
thioether,http://purl.obolibrary.org/obo/CHEBI_37437,crown thioether
thioketal,,
thioketone,http://purl.obolibrary.org/obo/CHEBI_36579,thioketone
thiol,http://purl.obolibrary.org/obo/CHEBI_29256,thiol
thiolactone,http://purl.obolibrary.org/obo/CHEBI_60317,thiolactone
thiourea,http://purl.obolibrary.org/obo/CHEBI_36946,thiourea
tosylhydrazone,,
triazene,http://purl.obolibrary.org/obo/CHEBI_35468,triazene
triol,http://purl.obolibrary.org/obo/CHEBI_27136,triol
urea,http://purl.obolibrary.org/obo/CHEBI_16199,urea
vanillyl group,http://purl.obolibrary.org/obo/CHEBI_18353,vanillyl alcohol
vinylidene group,http://purl.obolibrary.org/obo/CHEBI_53249,poly(vinylidene)
xanthate,,
ylide,http://purl.obolibrary.org/obo/CHEBI_51150,ylide
ynolate,,
calcium chloride,http://purl.obolibrary.org/obo/CHEBI_86158,calcium chloride dihydrate
potassium chloride,http://purl.obolibrary.org/obo/CHEBI_32588,potassium chloride
sodium chloride,http://purl.obolibrary.org/obo/CHEBI_26710,sodium chloride
