Filename,Residue_Code,MOL2_SHA256_Hash,Raw_InChIKey,Raw_CID,Raw_ChEBI,Raw_Name,Canon_InChIKey,Canon_CID,Canon_ChEBI,Canon_Name,Flat_InChIKey,Flat_CID,Flat_ChEBI,Flat_Name
all_amino94.nmr.lib_LYN_sybyl.mol2,LYN,d7ae9e19b23b799010cfc2be286c926942392faf1082fc49393a9dd2c2c958bd,IGCUKXMNGUIUAZ-LURJTMIESA-N,57452071,-,Compound_57452071,IGCUKXMNGUIUAZ-LURJTMIESA-N,57452071,-,Compound_57452071,IGCUKXMNGUIUAZ-UHFFFAOYSA-N,57449184,-,Compound_57449184
aminoct10.lib_CPRO_sybyl.mol2,CPRO,904443c6ffd71b619a031d45d2344c02adf0c3bf677457abf75282f13a611a06,ABAGUIKZKTYGLJ-BYPYZUCNSA-N,-,-,No Match,ABAGUIKZKTYGLJ-BYPYZUCNSA-N,-,-,No Match,ABAGUIKZKTYGLJ-UHFFFAOYSA-N,-,-,No Match
all_aminont94ildn.lib_NASN_sybyl.mol2,NASN,4f38309d27ab180e842d0e50a0f9acdb4c6d71b50baf934b4d73e625efdf950b,VWRJRJWXZDYDCA-VKHMYHEASA-O,-,-,No Match,VWRJRJWXZDYDCA-VKHMYHEASA-O,-,-,No Match,VWRJRJWXZDYDCA-UHFFFAOYSA-O,-,-,No Match
amino14ipq.lib_GLY_sybyl.mol2,GLY,21a7fd80ae81ace3cdb7885117c8f0ca11047d3a77abc3f3c2be3707820794aa,SXXPPKXQWLKDIE-UHFFFAOYSA-N,12452101,-,2-oxoethylazanide,SXXPPKXQWLKDIE-UHFFFAOYSA-N,12452101,-,2-oxoethylazanide,SXXPPKXQWLKDIE-UHFFFAOYSA-N,12452101,-,2-oxoethylazanide
amino19ipq_0.9.lib_PRO_sybyl.mol2,PRO,7eb808d44180a66db4b58b01a9ff475a9534c6f327227a262d7f01971c9f3750,IOYHOIIOPNAVHQ-YFKPBYRVSA-N,57486095,-,Compound_57486095,IOYHOIIOPNAVHQ-YFKPBYRVSA-N,57486095,-,Compound_57486095,IOYHOIIOPNAVHQ-UHFFFAOYSA-N,57449160,-,Compound_57449160
amino12.lib_ILE_sybyl.mol2,ILE,acf6702e89fde5d44219107366b56165aef856cc4b5129bc03dee3e657a22be4,RMMJKEPNVCYDDE-NTSWFWBYSA-N,57450269,-,Compound_57450269,RMMJKEPNVCYDDE-NTSWFWBYSA-N,57450269,-,Compound_57450269,RMMJKEPNVCYDDE-UHFFFAOYSA-N,57450577,-,Compound_57450577
all_aminont03.lib_NGLN_sybyl.mol2,NGLN,50714bbcf1833f0af86443229afd61cf748d801920e7dc39c9a8fc86d8008e28,ZBGCYFDJENVZMF-BYPYZUCNSA-O,-,-,No Match,ZBGCYFDJENVZMF-BYPYZUCNSA-O,-,-,No Match,ZBGCYFDJENVZMF-UHFFFAOYSA-O,-,-,No Match
all_aminont94.lib_NGLY_sybyl.mol2,NGLY,d1aa0a09631e4972af67fc2ea7b1f6725577221194c94269587d61d24d40580e,ANXOZVKTXWJGOY-UHFFFAOYSA-O,-,-,No Match,ANXOZVKTXWJGOY-UHFFFAOYSA-O,-,-,No Match,ANXOZVKTXWJGOY-UHFFFAOYSA-O,-,-,No Match
amino12.lib_GLH_sybyl.mol2,GLH,bd07c63400b2727251e74eb3f4ae1b9707245c5baa90a4a148fe04aacb148134,GGGQXJILLODUHV-BYPYZUCNSA-N,-,-,No Match,GGGQXJILLODUHV-BYPYZUCNSA-N,-,-,No Match,GGGQXJILLODUHV-UHFFFAOYSA-N,-,-,No Match
aminont15ipq-vac_10.0.lib_NGLN_sybyl.mol2,NGLN,50714bbcf1833f0af86443229afd61cf748d801920e7dc39c9a8fc86d8008e28,ZBGCYFDJENVZMF-BYPYZUCNSA-O,-,-,No Match,ZBGCYFDJENVZMF-BYPYZUCNSA-O,-,-,No Match,ZBGCYFDJENVZMF-UHFFFAOYSA-O,-,-,No Match
aminont10.lib_NVAL_sybyl.mol2,NVAL,785e7e41aacb98eb99d7c034bbe9f8a4166d656b259728d3b9a519d336059f08,AZMKLWDRMGVETL-RXMQYKEDSA-O,-,-,No Match,AZMKLWDRMGVETL-RXMQYKEDSA-O,-,-,No Match,AZMKLWDRMGVETL-UHFFFAOYSA-O,-,-,No Match
amino12.lib_PHE_sybyl.mol2,PHE,2016a9fc36afbc0a3d5a74a5313287f84d7462ebd6a0492b0db75b1d64962cd4,JPYXGDGSTUQBEH-VIFPVBQESA-N,57449697,-,Compound_57449697,JPYXGDGSTUQBEH-VIFPVBQESA-N,57449697,-,Compound_57449697,JPYXGDGSTUQBEH-UHFFFAOYSA-N,76540547,-,Compound_76540547
terminalphos.LJbb-RNA.lib_UMP_sybyl.mol2,UMP,87d4857cc7d171e3b533de2cdaf17157b6cb10199121869b9b7573291058f4ec,XZNVRAUCSBIEJT-XVFCMESISA-N,-,-,No Match,XZNVRAUCSBIEJT-XVFCMESISA-N,-,-,No Match,XZNVRAUCSBIEJT-UHFFFAOYSA-N,-,-,No Match
aminont15ipq_10.0.lib_NGLH_sybyl.mol2,NGLH,455482b98438fadb9869eefaa2d1effb760a00d430b4451901a1b77accad34a3,HCQHVOQGEZGHSC-BYPYZUCNSA-N,-,-,No Match,HCQHVOQGEZGHSC-BYPYZUCNSA-N,-,-,No Match,HCQHVOQGEZGHSC-BYPYZUCNSA-N,-,-,No Match
all_nucleic94.nmr.lib_RU5_sybyl.mol2,RU5,a21c9d6c2ca16c06ab8c138d55c75d7d9af7e18dd294062649ef491e28c467f5,UZGCTTNJWUJBRT-XVFCMESISA-N,-,-,No Match,UZGCTTNJWUJBRT-XVFCMESISA-N,-,-,No Match,UZGCTTNJWUJBRT-UHFFFAOYSA-N,-,-,No Match
aminoct19ipq_0.9.lib_CPHE_sybyl.mol2,CPHE,eff952da2c8f6b988c9e231ac92cf93be313607d6a53df1834868e9dd8d82f26,IGIAKSVYFDZQQI-QMMMGPOBSA-N,-,-,No Match,IGIAKSVYFDZQQI-QMMMGPOBSA-N,-,-,No Match,IGIAKSVYFDZQQI-UHFFFAOYSA-N,-,-,No Match
nucleic12.redq.lib_DC5_sybyl.mol2,DC5,fb6bf0311dc674a767f4c597c021c8a11e6197ef79ea1a56c9323c4000f2a15a,XEHGSOPWHOQYHD-SHYZEUOFSA-N,-,-,No Match,XEHGSOPWHOQYHD-SHYZEUOFSA-N,-,-,No Match,XEHGSOPWHOQYHD-UHFFFAOYSA-N,-,-,No Match
amino19ipq_0.9_pol.lib_PHE_sybyl.mol2,PHE,2016a9fc36afbc0a3d5a74a5313287f84d7462ebd6a0492b0db75b1d64962cd4,JPYXGDGSTUQBEH-VIFPVBQESA-N,57449697,-,Compound_57449697,JPYXGDGSTUQBEH-VIFPVBQESA-N,57449697,-,Compound_57449697,JPYXGDGSTUQBEH-UHFFFAOYSA-N,76540547,-,Compound_76540547
aminont15ipq-vac_10.0.lib_NVAL_sybyl.mol2,NVAL,785e7e41aacb98eb99d7c034bbe9f8a4166d656b259728d3b9a519d336059f08,AZMKLWDRMGVETL-RXMQYKEDSA-O,-,-,No Match,AZMKLWDRMGVETL-RXMQYKEDSA-O,-,-,No Match,AZMKLWDRMGVETL-UHFFFAOYSA-O,-,-,No Match
all_nucleic94.nmr.lib_RCN_sybyl.mol2,RCN,8c9862599c5482cc16f04c98b13df70c54afd0d8cb2062b4dea50b2c500606a7,UHDGCWIWMRVCDJ-XVFCMESISA-N,6175,CHEBI:17562,cytidine,UHDGCWIWMRVCDJ-XVFCMESISA-N,6175,CHEBI:17562,cytidine,UHDGCWIWMRVCDJ-UHFFFAOYSA-N,596,-,688007-26-3
all_modrna08.lib_1MI_sybyl.mol2,1MI,9b6e09696d71dc82716c93e8b4c9d85a6c6326b64d1b76a94aaa7454f6d67948,NNJYEONCULWQHQ-IOSLPCCCSA-N,-,-,No Match,NNJYEONCULWQHQ-IOSLPCCCSA-N,-,-,No Match,NNJYEONCULWQHQ-UHFFFAOYSA-N,-,-,No Match
amberdyes.lib_T48_sybyl.mol2,T48,1cf4295fcae350d65715cfa886d1ed9f25bb60c17ca138a17f2822807fefd014,KAMPQAFVYFDMJF-UHFFFAOYSA-N,-,-,No Match,KAMPQAFVYFDMJF-UHFFFAOYSA-N,-,-,No Match,KAMPQAFVYFDMJF-UHFFFAOYSA-N,-,-,No Match
nab.lib_NGLN_sybyl.mol2,NGLN,50714bbcf1833f0af86443229afd61cf748d801920e7dc39c9a8fc86d8008e28,ZBGCYFDJENVZMF-BYPYZUCNSA-O,-,-,No Match,ZBGCYFDJENVZMF-BYPYZUCNSA-O,-,-,No Match,ZBGCYFDJENVZMF-UHFFFAOYSA-O,-,-,No Match
aminoct10.lib_CILE_sybyl.mol2,CILE,64499cf7e5147c79cb909b2991140f2b683eb4efca56ddbfa1ba4ec23713b9cd,VMBQXLKGFJOFKK-WHFBIAKZSA-N,-,-,No Match,VMBQXLKGFJOFKK-WHFBIAKZSA-N,-,-,No Match,VMBQXLKGFJOFKK-UHFFFAOYSA-N,-,-,No Match
all_amino94ildn.lib_MET_sybyl.mol2,MET,be1477ec92f9e7c959aff2ab9cb9ac8e462aa39bb2f841e434023b27af2e892e,SHZDRIWLMOPNLU-YFKPBYRVSA-N,-,-,No Match,SHZDRIWLMOPNLU-YFKPBYRVSA-N,-,-,No Match,SHZDRIWLMOPNLU-UHFFFAOYSA-N,57449256,-,Compound_57449256
